time_seconds,goal,luminusity_7_02.10.047_02.29.381,luminasity_8_02.29.381_02.47.541,luminasity_9_02.47.541_03.07.094,luminasity_10_03.07.094_03.27.266,luminasity_11_03.27.266_03.50.423,luminasity_14_04.39.213_04.59,papillon_1_00.00.000_01.29.318,papillon_2_01.29.318_03.06.429,papillon_4_04.34.344_06.43.645,papillon_5_06.43.645_08.13.352,prism_1_00.00.000_01.28.904,prism_2_01.28.904_02.38.937,prism_3_04.46.624_06.25.707,luminusity_7_02.10.047_02.29.381#2,luminasity_8_02.29.381_02.47.541#2,luminasity_9_02.47.541_03.07.094#2,luminasity_10_03.07.094_03.27.266#2,luminasity_11_03.27.266_03.50.423#2,luminasity_14_04.39.213_04.59#2,papillon_1_00.00.000_01.29.318#2,papillon_2_01.29.318_03.06.429#2,papillon_4_04.34.344_06.43.645#2,papillon_5_06.43.645_08.13.352#2,prism_1_00.00.000_01.28.904#2,prism_2_01.28.904_02.38.937#2,prism_3_04.46.624_06.25.707#2
2.5500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2040,0.0000,0.0000,0.0000,0.0000,0.0000,0.7484,0.0000,0.2032,0.0000,0.0000,0.0000,0.0000,0.1795,0.0000,0.0000,0.0000,0.0000,0.0000,0.2930,0.0000
2.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.1182,0.0000,0.0000,0.0000,0.0000,0.0000,4.1019,0.0000,1.1134,0.0000,0.0000,0.0000,0.0000,0.9836,0.0000,0.0000,0.0000,0.0000,0.0000,1.6057,0.0000
2.6500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.4042,0.0000,0.0000,0.0000,0.0000,0.0000,8.8198,0.0000,2.3941,0.0000,0.0000,0.0000,0.0000,2.1150,0.0000,0.0000,0.0000,0.0000,0.0000,3.4525,0.0000
2.7000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.3184,0.0000,0.0000,0.0000,0.0000,0.0000,12.1732,0.0000,3.3044,0.0000,0.0000,0.0000,0.0000,2.9192,0.0000,0.0000,0.0000,0.0000,0.0000,4.7653,0.0000
2.7500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
2.8000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
2.8500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
2.9000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
2.9500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
3.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3.5224,0.0000,0.0000,0.0000,0.0000,0.0000,12.9217,0.0000,3.5075,0.0000,0.0000,0.0000,0.0000,3.0987,0.0000,0.0000,0.0000,0.0000,0.0000,5.0582,0.0000
